产品名称,旅游方式,供应商,等级,景点个数,交通,用餐,自由活动,五分,四分,三分,总评价,出游人数,评价人数,出发地,最低报价,周日报价,周一报价,周二报价,周三报价,周四报价,周五报价,周六报价,跟团地点,旅游线路
美国洛杉矶+旧金山6日5晚跟团游(3钻)·七大主题项目任选二【限时特惠】含必付,跟团游,供应商：熊大国旅,5晚3钻,共7个景点，包含7个经典景点：,暂无交通信息,暂无用餐信息,自由活动1次,(1),(3),(0),4.3?分,39人出游,4条点评,洛杉矶,3696,￥4796起,￥4796起,￥4796起,￥4496起,￥4496起,￥4496起,￥4496起,目的地跟团,西海岸
美国西海岸+洛杉矶+拉斯维加斯+旧金山+黄石国家公园10日9晚跟团游(3钻)·大峡谷+羚羊彩穴+主题项目选一 含必付,跟团游,供应商：熊大国旅,9晚3钻,共14个景点，包含12个经典景点：,行车时长38小时,暂无用餐信息,自由活动1次,(2),(1),(1),3.8?分,136人出游,5条点评,洛杉矶,6085,￥6885起,￥6885起,￥6885起,￥6585起,,,￥6585起,目的地跟团,西海岸
美国黄石国家公园+洛杉矶+拉斯维加斯+盐湖城5日半自助游·大提顿国家公园、布莱斯国家公园·(5天)美西黄石经济游：绝美黄石公园、秀丽大提顿国家公园、布莱斯国家公园奇景不断,半自助游,供应商：途风（熊大旗下）,暂无酒店信息,共12个景点，包含5个经典景点：,暂无交通信息,暂无用餐信息,暂无自由活动信息,(0),(0),(1),3.0?分,42人出游,1条点评,洛杉矶,2970,实时计价,,,￥2970起,￥2970起,,￥2970起,目的地跟团,西海岸
美国洛杉矶+旧金山+硅谷5日4晚跟团游·17里湾优胜美地二选一【含主题乐园门票】,跟团游,供应商：Namei Group Inc.,4晚3钻,共11个景点，包含9个经典景点：,行车时长6小时,暂无用餐信息,自由活动1次,(0),(4),(1),3.3?分,27人出游,6条点评,洛杉矶,2969,￥3058起,￥3058起,￥3058起,￥3058起,￥3058起,￥3058起,￥3058起,目的地跟团,西海岸
美国洛杉矶+拉斯维加斯+旧金山14日13晚半自助游·1号公路+6大国家公园自驾,半自助游,供应商：熊大国旅,暂无酒店信息,共54个景点，包含15个经典景点：,行车时长33小时,42次自理,暂无自由活动信息,(1),(0),(0),5.0?分,13人出游,1条点评,洛杉矶,8898,￥8898起,￥8898起,￥8898起,￥8898起,￥8898起,￥8898起,￥8898起,目的地跟团,西海岸
美国拉斯维加斯+洛杉矶7日6晚跟团游(3钻)·七大主题公园任选三+携程大礼包,跟团游,供应商：熊大国旅,6晚3钻,共6个景点，包含6个经典景点：,暂无交通信息,暂无用餐信息,自由活动1次,(1),(0),(0),5.0?分,27人出游,1条点评,洛杉矶,4147,￥5047起,￥5047起,￥5047起,￥4747起,￥4747起,￥4747起,￥4747起,目的地跟团,西海岸
美国西海岸+洛杉矶+拉斯维加斯+黄石国家公园9日8晚跟团游(3钻)·羚羊彩穴+大峡谷 含必付,跟团游,供应商：熊大国旅,8晚3钻,共11个景点，包含8个经典景点：,行车时长17小时,暂无用餐信息,暂无自由活动信息,(1),(0),(0),5.0?分,10人出游,1条点评,洛杉矶,5105,,,￥5705起,￥5405起,￥5405起,,,目的地跟团,西海岸
美国西雅图+奥林匹亚+波特兰8日7晚跟团游·含雷尼尔火山+奥林匹克公园门票+自由购物,跟团游,供应商：熊大国旅,7晚3钻,共16个景点，包含8个经典景点：,暂无交通信息,暂无用餐信息,暂无自由活动信息,(1),(0),(0),5.0?分,17人出游,1条点评,西雅图,4588,￥5188起,,,,,￥4888起,￥4888起,目的地跟团,西海岸
美国斯波坎+黄石国家公园4日3晚跟团游·含黄石公园门票+多蓝湖+斯波坎+早订优惠,跟团游,供应商：熊大国旅,3晚3钻,共3个景点，包含3个经典景点：,暂无交通信息,暂无用餐信息,暂无自由活动信息,(1),(0),(0),5.0?分,34人出游,1条点评,西雅图,2836,,,,,￥2836起,,,目的地跟团,西海岸
美国拉斯维加斯+大峡谷3日2晚跟团游(3钻)·大峡谷or羚羊彩穴+入住拉斯大道三星酒店,跟团游,供应商：熊大国旅,2晚3钻,共6个景点，包含5个经典景点：,暂无交通信息,暂无用餐信息,自由活动1次,(1),(0),(0),5.0?分,新产品,1条点评,洛杉矶,693,￥693起,￥693起,￥693起,￥693起,￥833起,￥833起,￥833起,目的地跟团,西海岸
