name,keyword,category,inventory,price_cut,price_origin,price_sale,discount,dis_num,favor_num,des_score,price_score,quality_score,service_score,dif,包邮,双十一,新款,韩版,英伦,欧美,冬装,礼盒,明星,均码,通勤,学院,情侣,dis_price,discount1,discount21,discount22,discount23,discount24,discount25,双十一红包,满减券,其他优惠,dis_num1,dis_strength,dis_strength1,easy_satisfy,easy_satisfy1
(上海故事)秋冬新款羊毛针织围巾男女款情侣围巾秋冬保暖款,均码 黄色 蓝色 复古朋克 不限季节 其他 羊毛 长方形 银色 钉珠装饰 民族专用 蟹 100cm-140cm 50以下 50以下 羊毛,男士饰品,397,-1.3,99,69.3,购物满99元立减5元 购物满199元立减19元 购物满499元立减49元,3,2,4.78,4.78,4.78,4.78,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0.7,1,0,1,0,0,0,0,1,0,>2种优惠,0.081392943,1,1.455882353,"(1,2]"
｛大小姐}2016新款欧美女装修身显瘦鹿皮绒风衣中长款外套潮,"MLXL 常规袖 通勤（OL）,欧美 麂皮 普通 X型（收腰） 粉红色 中长款（66-80cm） 系带 方领 长袖 渐变,绑带,纽扣 渐变 秋冬",女装,2022,0,359,251.3,NO INF,0,14,4.79,4.78,4.79,4.82,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0.7,0,0,0,0,0,0,0,0,0,不超过1种优惠,0,0,0,0
【100%牛皮】袁姗姗同款运动鞋学生板鞋休闲厚底麦昆小白鞋女,"35 36 37 38 39 40 34 圆头 绑带（系带） 白色（后跟粉色）,白色（后跟黑色） 中跟（3-5CM） 运动,学院 橡胶底 PU 平跟（无跟） 光板（无工艺效果） 纯色 二层牛皮 秋冬 套脚,系带",女鞋,4009,-30.2,641,128.2,购物满126元立减2元,1,8366,4.82,4.79,4.8,4.8,90,0,0,0,0,0,0,1,0,1,0,0,1,0,0.2,1,0,1,0,0,0,0,1,0,不超过1种优惠,0.015873016,0,1.285714286,"(1,2]"
【A森】秋冬高质量加厚保暖纯色男士棉衣韩版中长款外套棉服男,"S M L XL 2XL 蝙蝠袖 其它,拼接 日韩,欧美 复合,棉 宽松 长款 连帽 纯色 长袖 浅灰色 黑色",男装,9994,-8.6,368,257.6,NO INF,0,36,4.78,4.77,4.77,4.78,11,0,0,0,1,0,1,1,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,不超过1种优惠,0,0,0,0
【OMG】新款男士韩版休闲百搭围巾,均码 藏青色 酒红色 浅灰色 深灰色 冬季 围巾/丝巾 棉质 长方形 保暖 加厚 30cm-70cm 175cm-230cm 175cm-230cm 棉质,男士饰品,928,-1,80,56,购物满3件立减10元 购物满2件立减5元,2,127,4.74,4.72,4.73,4.75,202,0,0,1,1,0,0,1,0,0,1,0,0,0,0.7,1,0,1,0,0,0,0,1,0,2种优惠,0,0,0,0
【包邮】六件套领带男士正装商务职业韩版8cm领带新郎结婚,均码 K03 4 27 15 57 T-13 5 T-54 T-50 T-26 21 T-36 20 T-35 T-53 T-43 38 T51 T-44 14 37 7 T-31 T-52 商务 领结 涤丝 格子 涤丝,男士饰品,4791,-3.3,99,69.3,NO INF,0,213,4.75,4.71,4.72,4.72,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0.7,0,0,0,0,0,0,0,0,0,不超过1种优惠,0,0,0,0
【包邮】六件套男士领带正装商务职业韩版8cm新郎结婚礼盒,"均码 K03 K19 K11 K04 4 27 38 37 K17 k02 K01 K08 K58 K18 7 K16 K25 26 K12 21 K05 K10 K56 K59 复古 线环领带 涤丝 格子,几何,几何图案,条纹,细条纹,格纹 涤丝",男士饰品,4799,-0.99,99,69.3,NO INF,0,206,4.74,4.68,4.69,4.72,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0.7,0,0,0,0,0,0,0,0,0,不超过1种优惠,0,0,0,0
【包邮】六件套男士领带正装商务职业韩版8cm新郎结婚礼盒,均码 K03 K19 K11 K04 4 27 38 37 K17 k02 K01 K08 K58 K18 7 K16 K25 26 K12 21 K05 K10 K56 K59 商务 缎带领带 涤丝 条纹 涤丝,男士饰品,4798,-0.99,99,69.3,NO INF,0,3,4.74,4.68,4.69,4.72,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0.7,0,0,0,0,0,0,0,0,0,不超过1种优惠,0,0,0,0
【草之沐沐】2016冬季新品女装时尚韩版短款羽绒棉服外套棉衣,"MLXL 基本款,韩系 锦棉（有光泽） 普通 斗篷 浅灰,黑色 常规款（51-65cm） 其他领型 长袖 纯色 纯色 冬季",女装,2998,-10.48888889,756,225.4888889,11.11红包最高再抵           25.00元,2,13,4.84,4.82,4.83,4.83,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0.298265726,1,1,0,0,0,0,1,0,0,2种优惠,0,0,0,0
【草之沐沐】2016秋冬季新款女装外套韩版中长款棉服棉衣,"SMLXLXXL 插肩袖 韩系,通勤（OL） 记忆布 加厚 X型（收腰） 紫色,砖红 中长款（66-80cm） 拉链 立领 长袖 纯色 冬季",女装,7381,-40,860,258,11.11红包最高再抵           25.00元,2,742,4.89,4.88,4.88,4.85,35,0,0,1,1,0,0,1,0,0,0,1,0,0,0.3,1,1,0,0,0,0,1,0,0,2种优惠,0,0,0,0
