手机编号,价格,品牌,屏幕尺寸,前置摄像头像素,后置摄像头像素,指纹识别,GPS定位,促销信息,总评论数,好评数,中评数,差评数
2876449,999,360,5.5,500,1300,支持,支持,有,122745,118606,2377,1762
3097849,1799,360,5.5,1300,1300,支持,支持,无,9693,9222,235,236
3235724,1199,360,5.5,800,1600,支持,支持,有,126390,120979,3040,2371
3398125,899,360,5.5,500,1300,支持,支持,有,6310,6008,175,127
3783186,1799,360,5.5,1300,1300,支持,支持,有,362,343,12,7
3828650,1299,360,5.5,800,1600,支持,支持,无,126390,120979,3040,2371
10162503058,999,其他,4.7,200,800,其他,支持,无,364,338,16,10
10162503062,999,其他,4.7,200,800,其他,支持,无,364,338,16,10
10669260214,699,其他,5,200,800,其他,支持,无,318,299,13,6
10669260216,699,其他,5,200,800,其他,支持,无,319,300,13,6
10669260220,699,其他,5,200,800,其他,支持,无,318,299,13,6
10712008853,899,其他,5,200,800,其他,支持,无,122,115,6,1
2166485,2199,其他,5,400,1300,支持,支持,无,4962,4681,162,119
2288566,1999,其他,5.5,500,1300,其他,支持,有,2294,2178,75,41
2676517,3799,其他,5.2,500,1200,支持,支持,有,730,689,24,17
2981912,1099,其他,5.5,400,1300,其他,支持,有,2044,1948,48,48
3548595,2599,其他,5.5,1300,2000,支持,支持,无,548,484,37,27
2589808,3699,其他,5.3,800,1600,支持,支持,有,10267,9774,249,244
2589810,3699,其他,5.3,800,1600,支持,支持,有,10267,9774,249,244
2589814,3599,其他,5.3,800,1600,支持,支持,有,10269,9775,250,244
2589818,3699,其他,5.3,800,1600,支持,支持,有,10267,9774,249,244
2972172,2999,其他,5.3,800,1600,支持,支持,有,10267,9774,249,244
2972174,2999,其他,5.3,800,1600,支持,支持,有,10267,9774,249,244
2972184,2999,其他,5.3,800,1600,支持,支持,有,10267,9774,249,244
2972186,2999,其他,5.3,800,1600,支持,支持,有,10269,9775,250,244
2022008,999,OPPO,5,500,800,其他,支持,无,19461,18564,566,331
2473905,2499,OPPO,5.5,1600,1300,支持,支持,有,200632,193516,3629,3487
2848935,1299,OPPO,5,500,800,其他,支持,无,21184,20266,605,313
2951512,1799,OPPO,5.5,800,1300,支持,支持,无,32935,31607,801,527
3953254,2799,OPPO,5.5,1600,1600,支持,支持,无,22702,22091,313,298
3953282,1999,OPPO,5.5,1600,1300,支持,支持,无,1209,1164,25,20
10065238236,1098,vivo,5,500,800,其他,支持,无,20524,19626,567,331
10183487366,2298,vivo,5.2,800,1300,支持,支持,无,41065,39730,773,562
10183556899,2598,vivo,5.7,800,1600,支持,支持,有,9975,9665,165,145
10429992152,2498,vivo,5.2,1600,1300,支持,支持,无,70305,68649,909,747
10474018960,2798,vivo,5.7,1600,1600,支持,支持,无,41072,40183,493,396
10474018961,2798,vivo,5.7,1600,1600,支持,支持,无,41072,40183,493,396
10782445805,1298,vivo,5.2,500,800,其他,支持,无,2401,2302,54,45
3022599,1599,其他,5,800,1300,不支持,不支持,无,8395,7797,290,308
3352168,2299,其他,5.2,800,1300,不支持,不支持,无,25734,24381,813,540
3352172,2299,其他,5.2,800,1300,不支持,不支持,无,25734,24381,813,540
3352192,1799,其他,5,800,1300,不支持,不支持,无,8395,7797,290,308
3352194,1799,其他,5,800,1300,不支持,不支持,无,8396,7798,290,308
3352196,1199,其他,5,800,1300,不支持,不支持,有,8396,7798,290,308
